age,rating,weather_cond,traffic,vehicle_cond,vehicle_type,multiple_orders,festival,city_type,city_name,month,weekend,ordered_hour,distance_km,delivery_time
33.0,4.9,cloudy,jam,0,motorcycle,1.0,no,metropolitian,mum,3,0,20.0,9.18,29
31.0,3.7,sandstorms,jam,2,motorcycle,1.0,no,urban,ludh,2,0,20.0,11.72,32
33.0,4.9,windy,low,1,scooter,1.0,no,metropolitian,pune,3,0,22.0,16.85,25
22.0,4.7,fog,medium,2,electric_scooter,1.0,no,metropolitian,hyd,3,1,17.0,10.76,25
34.0,4.9,stormy,medium,1,scooter,1.0,no,metropolitian,mys,3,1,17.0,10.88,29
27.0,4.7,sandstorms,jam,0,motorcycle,1.0,no,metropolitian,pune,3,0,20.0,9.19,31
29.0,4.9,sunny,low,2,scooter,1.0,no,urban,goa,2,0,9.0,3462.9,17
25.0,4.5,fog,medium,2,electric_scooter,0.0,no,metropolitian,jap,3,1,18.0,7.45,14
39.0,4.8,cloudy,jam,0,motorcycle,0.0,no,metropolitian,hyd,3,0,19.0,9.22,25
21.0,5.0,stormy,jam,2,motorcycle,0.0,no,metropolitian,bang,3,1,21.0,12.42,25
26.0,4.5,sandstorms,medium,2,motorcycle,1.0,no,urban,jap,3,0,18.0,20.85,21
35.0,4.8,windy,jam,2,scooter,0.0,no,metropolitian,jap,3,0,21.0,8.94,33
28.0,4.8,fog,low,2,scooter,0.0,no,metropolitian,sur,3,0,22.0,13.68,23
37.0,4.7,windy,medium,1,scooter,1.0,no,metropolitian,chen,3,0,18.0,9.31,29
28.0,4.7,windy,medium,0,motorcycle,1.0,no,metropolitian,deh,2,1,17.0,11.75,21
29.0,4.6,windy,medium,1,scooter,0.0,no,urban,mys,3,0,17.0,9.33,26
32.0,4.6,cloudy,jam,0,motorcycle,2.0,yes,metropolitian,ranchi,3,0,19.0,16.6,51
31.0,4.9,cloudy,jam,0,motorcycle,2.0,no,metropolitian,chen,3,0,21.0,20.18,46
34.0,4.6,fog,high,0,motorcycle,1.0,no,metropolitian,jap,4,1,13.0,5.96,25
26.0,4.6,cloudy,medium,0,motorcycle,2.0,no,metropolitian,coimb,3,0,18.0,10.91,37
32.0,4.9,sandstorms,low,1,scooter,1.0,no,metropolitian,hyd,3,0,23.0,13.83,24
24.0,4.5,fog,low,0,motorcycle,1.0,no,metropolitian,bang,3,0,10.0,3.11,19
26.0,4.8,sunny,jam,1,motorcycle,1.0,no,metropolitian,pune,3,0,20.0,10.73,23
20.0,5.0,fog,high,1,scooter,1.0,no,metropolitian,vad,3,1,11.0,3.15,26
27.0,4.7,windy,medium,0,motorcycle,1.0,no,metropolitian,mum,3,1,15.0,6.12,28
30.0,4.9,stormy,low,2,scooter,1.0,no,urban,sur,3,0,23.0,7.6,29
38.0,4.7,fog,medium,1,motorcycle,1.0,no,urban,hyd,3,1,18.0,12.29,43
39.0,4.9,stormy,jam,1,motorcycle,1.0,no,metropolitian,coimb,3,0,20.0,20.25,27
21.0,4.7,sandstorms,high,1,motorcycle,1.0,no,metropolitian,ranchi,3,0,13.0,6.04,18
36.0,5.0,cloudy,medium,0,motorcycle,2.0,no,metropolitian,ludh,2,1,18.0,11.72,45
30.0,4.2,windy,jam,0,motorcycle,1.0,no,metropolitian,jap,3,1,20.0,13.41,47
